,num_people,generic_name,event_type,event_location,manufacturer,source,specialty,adverse_event_flag,date_manufacturer_received,date_of_event,date_received,date_report,class,regulation_number
0,1,NEUROSTIMULATOR,Other,,MEDTRONIC,Voluntary report,Unknown,N,NA,20080804,20080814,20080804,3,
1,1,"INSTRUMENT, ULTRASONIC SURGICAL",Malfunction,,ETHICON,Manufacturer report,Unknown,N,20140812,20140714,20140728,20140715,U,
2,1,,Injury,I,BAYER,Voluntary report,Obstetrics/Gynecology,Y,NA,20080822,20150921,20150924,3,884.5380
3,1,INSULIN INFUSION PUMP / SENSOR AUGMENTED,Malfunction,I,MDT PUERTO RICO OPERATIONS CO,Manufacturer report,Unknown,N,20150608,20150608,20150625,20150608,3,
4,1,LEAD MODEL 302,Malfunction,OTHER,CYBERONICS,Manufacturer report,Unknown,N,20121017,20120718,20120904,20120806,3,
5,1,IMPLANTABLE PACEMAKER PULSE GENERATOR,Injury,HOSPITAL,ST JUDE MEDICAL CARDIAC RHYTHM MANAGEMENT DIVISION,Manufacturer report,Unknown,Y,20110613,20110606,20110908,NA,3,
6,1,RADIATION TREATMENT PLANNING SYSTEM - MUJ,Malfunction,,"IMPAC MEDICAL SYSTEMS, INC.",Manufacturer report,Radiology,N,20130605,NA,20130628,20130628,2,892.5050
7,1,"STAPLE, IMPLANTABLE",Injury,,ETHICON,Manufacturer report,"General, Plastic Surgery",Y,20111208,20110929,20111109,20111020,2,878.4750
8,1,IMPLANTABLE LEAD,Injury,,CPI - DEL CARIBE,Manufacturer report,Unknown,Y,20101130,20101130,20110107,20101130,3,
9,1,INSULIN INFUSION PUMP,Malfunction,I,ANIMAS CORPORATION,Manufacturer report,General Hospital,N,20150825,NA,20150915,20150825,2,880.5725
10,1,CORONARY STENT SYSTEM,Injury,UNKNOWN,GUIDANT,Manufacturer report,Unknown,Y,19981022,19981022,19981120,19981022,3,
11,1,INFUSION PUMP,Injury,HOSPITAL,ABBOTT LABORATORIES,Manufacturer report,General Hospital,Y,19970611,19970529,19970711,19970611,2,880.5725
12,1,"STIMULATOR, SPINAL-CORD, TOTALLY IMPLANTED FOR PAIN RELIEF",Malfunction,I,MEDTRONIC,Manufacturer report,Unknown,N,20151105,NA,20151202,20151105,3,
13,1,GLUCOSE MONITORING SYS/KIT,Malfunction,,"LIFESCAN EUROPE, A DIVISION OF CILAG GMBH INTL",Manufacturer report,Clinical Chemistry,N,20150319,NA,20150327,20150319,2,862.1345
14,1,"DILATOR, VESSEL, FOR PERCUTANEOUS CATHETERIZATION",Injury,,EDWARDS LIFESCIENCES,Manufacturer report,Cardiovascular,Y,20130122,20130122,20130216,20130122,2,870.1310
15,1,,Injury,,ABBOTT GERMANY,Manufacturer report,Unknown,Y,20140218,NA,20140318,20140114,3,
16,1,BLOOD GLUCOSE MONITORING TEST STRIPS - LFR,Malfunction,OTHER,ROCHE DIAGNOSTICS,Manufacturer report,Clinical Chemistry,N,20080409,20080326,20080415,20080415,2,862.1345
17,1,DRILL GUIDE,Malfunction,HOSPITAL,SMITH & NEPHEW,Manufacturer report,Orthopedic,N,19980624,19980624,19980724,NA,1,888.4540
18,1,INEJCTABLE IMPLANT,Other,,"MERZ NORTH AMERICA, INC.",Manufacturer report,Unknown,Y,20130911,20130828,20131004,20130911,3,
19,1,INFUSION PUMP,Malfunction,,BAXTER,Manufacturer report,General Hospital,N,20051122,20051101,20051219,20051122,2,880.5725
20,1,IMPLANTABLE PACING LEAD,Death,HOSPITAL,MEDTRONIC,Manufacturer report,Cardiovascular,Y,20120420,20120416,20120501,NA,3,870.3680
21,1,TOTAL KNEE REPLACEMENT,Injury,,"1818910 DEPUY ORTHOPAEDICS, INC.",Manufacturer report,Orthopedic,Y,20100923,20100923,20101008,20100923,2,888.3560
