,num_people,generic_name,event_type,event_location,manufacturer
0,1,NEUROSTIMULATOR,Other,,MEDTRONIC
1,1,"INSTRUMENT, ULTRASONIC SURGICAL",Malfunction,,ETHICON
3,1,INSULIN INFUSION PUMP / SENSOR AUGMENTED,Malfunction,I,CYBERONICS
4,1,LEAD MODEL 302,Malfunction,OTHER,ST JUDE MEDICAL CARDIAC RHYTHM MANAGEMENT DIVISION
5,1,IMPLANTABLE PACEMAKER PULSE GENERATOR,Injury,HOSPITAL,"IMPAC MEDICAL SYSTEMS, INC."
6,1,RADIATION TREATMENT PLANNING SYSTEM - MUJ,Malfunction,,ANIMAS CORPORATION
9,1,INSULIN INFUSION PUMP,Malfunction,I,ROCHE DIAGNOSTICS
12,1,"STIMULATOR, SPINAL-CORD, TOTALLY IMPLANTED FOR PAIN RELIEF",Malfunction,I,ALARIS
13,1,GLUCOSE MONITORING SYS/KIT,Malfunction,,"ALCON LABORATORIES, INC"
16,1,BLOOD GLUCOSE MONITORING TEST STRIPS - LFR,Malfunction,OTHER,NORTH HAVEN - USS
17,1,DRILL GUIDE,Malfunction,HOSPITAL,MPRI
19,1,INFUSION PUMP,Malfunction,,AGFA HEALTHCARE CORP
23,1,INJECTION CAP ON A CATHETER,Injury,OUTPATIENT TREATMENT FACILITY,ADVANCED BIONICS LLC
24,1,INTRAOCULAR LENS,Malfunction,HOSPITAL,"LIFESCAN EUROPE, A DIVISION OF CILAG GMBH INTL"
25,1,INFUSION PUMP,Malfunction,,MDT PUERTO RICO OPERATIONS CO
26,1,NONE,Malfunction,,BAXTER HEALTHCARE
27,1,DISPOSABLE STAPLER,Injury,,BAXTER HEALTHCARE
31,1,DRUG ELUTING PERMANENT RIGHT VENTRICULAR (RV) OR RIGHT ATRIAL (RA) PACEMAKER ELE,Injury,,ZOLL
32,1,VIDEO PROCESSOR,Malfunction,,COVIDIEN
34,1,PICTURE ARCHIVING AND COMMUNICATION,Malfunction,,CYBERONICS
